object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
gms_bzf_cnst_cnstcy_curnt,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:29
gms_bz_pg_group_membrshp,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:30
gms_cnst_cdi_smry_fr_pa_dm,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation cnst_cdi_s_f_p_fr_dmail,2025-12-19 13:11:32
gms_cnst_cdi_smry_fr_prfr,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_cnst_cdi_smry_fr_prfr"" does not exist",2025-12-19 13:11:33
gms_cnst_cdi_smry_fr_prfr_src,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,column a.grp_key does not exist,2025-12-19 13:11:35
gms_frfbz_dim_tag,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:36
gms_pg_group_membrshp_src,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_arc_fr_smry"" does not exist",2025-12-19 13:11:38
gms_sf_acct_contct_brdg,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:39
lkp_adb_intrctn_status_dsc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:41
mktg_sky_dates,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.mktg_sky_dates"" does not exist",2025-12-19 13:11:42
nhqmktg_cdrp_enrllmnt_sts,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:43
pacific_east_email_append,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:45
pbi_bzl_fact_show_prodctv_ind,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:46
pbi_entrprs_campgn_comnts,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:47
pbi_entrprs_campgn_results,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:49
pbi_entrprs_campgn_smry,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:50
phone_interaction_eoc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:53
phone_interaction_pg_eoc,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:54
rr_rqq_rql_file_xref,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:57
rr_rqq_rql_file_xref_mtvtn_cd,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:59
scr_val_ref,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.scr_val_ref"" does not exist",2025-12-19 13:12:00
srvy_anvrsry_vlntr_questions,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:01
srvy_anvrsry_vlntr_questn_2_srvy_xref,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:03
srvy_anvrsry_vlntr_rspns_norm,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:04
srvy_anvrsry_vlntr_rspns_txt_norm,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.srvy_anvrsry_vlntr_rspns_txt_norm"" does not exist",2025-12-19 13:12:05
srvy_anvrsry_vlntr_survey,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:07
srvy_anvrsry_vlntr_values,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:08
srvy_anvrsy_vlntr_rspns,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.srvy_new_anvrsy_vlntr_rspns"" does not exist",2025-12-19 13:12:09
srvy_anvrsy_vlntr_rspns_all,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.srvy_anvrsy_vlntr_rspns_all"" does not exist",2025-12-19 13:12:11
srvy_blood_sponsor,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:12
srvy_blood_sponsor_questn_2_srvy_xref,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:13
srvy_blood_sponsor_rspns,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:15
srvy_blood_sponsor_survey,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:16
srvy_blood_sponsor_values,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:17
srvy_gplg_rspns_ss,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_cnst_cdi_smry_fr_prfr"" does not exist",2025-12-19 13:12:19
srvy_hsptl_customer_contact,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:12:20
